Geno,trt,rep,BM,TPN,TSW,TSW,OC
Mercedes,Control,1,23.57,544,53.6,28.83,43.02077484
Mercedes,Control,2,29.74,601,57.6,31.22,47.19010925
Mercedes,Control,3,26.11,590,69.2,39.2,46.74843597
Mercedes,Control,4,26.9,560,62.4,34.19,45.89272308
Mercedes,HNT,1,22.1,580,58,33.79,44.17750549
Mercedes,HNT,2,24.31,542,62,37.46,46.79454041
Mercedes,HNT,3,34.12,605,57.1,31.33,42.83454895
Mercedes,HNT,4,22.6,534,57.1,32.29,43.71681213
Edimax CL,Control,1,21.11,479,50.7,32.12,42.78350067
Edimax CL,Control,2,25.42,510,57.6,34.13,44.72533417
Edimax CL,Control,3,24.53,515,61.1,29.89,39.93471527
Edimax CL,Control,4,30.32,485,68,38.21,43.84681702
Edimax CL,HNT,1,29.26,543,55.7,39.12,41.02478027
Edimax CL,HNT,2,25.38,479,64.9,35.71,44.59635162
Edimax CL,HNT,3,29.58,545,68.5,28.62,41.04878235
Edimax CL,HNT,4,22.93,485,60,32.93,40.84725952
Popular,Control,1,31.9,530,59.4,32.82,44.55762482
Popular,Control,2,22.26,520,53.4,30.96,44.13169861
Popular,Control,3,25.49,610,53.2,29.96,42.8425293
Popular,Control,4,21.56,460,49.8,28.71,m
Popular,HNT,1,19.86,553,48.9,26.03,40.84464264
Popular,HNT,2,32.18,546,48.9,26.8,44.41143036
Popular,HNT,3,23.88,549,44.6,31.3,42.2071991
Popular,HNT,4,26.28,580,65.1,37.71,46.08872986
46W94,Control,1,38.97,560,61.1,41.88,44.5116272
46W94,Control,2,32.93,681,61.6,33.23,46.17240906
46W94,Control,3,40.9,609,76.1,31,45.05198669
46W94,Control,4,30.63,644,72.9,38.62,43.94624329
46W94,HNT,1,35.74,582,61.9,37.63,44.43789673
46W94,HNT,2,24.1,515,56.7,33.38,45.28543854
46W94,HNT,3,40.8,680,73.6,31.32,44.96286011
46W94,HNT,4,32.9,586,61,m,m
DKW44-10,Control,1,46.99,346,31.9,18.71,32.79416656
DKW44-10,Control,2,44.88,352,32.3,17.07,33.23187256
DKW44-10,Control,3,47.6,320,33.6,18.49,34.57231903
DKW44-10,Control,4,65.79,459,35.6,20.85,m
DKW44-10,HNT,1,32.02,430,28.5,13.52,29.43988228
DKW44-10,HNT,2,25.82,270,18.2,13.89,26.31503868
DKW44-10,HNT,3,24.89,348,22.5,10.31,27.95635033
DKW44-10,HNT,4,28.29,290,18.4,10.53,27.9037571
DKW46-15,Control,1,33.92,575,50.7,30.03,40.50585175
DKW46-15,Control,2,33.98,468,40.1,28.92,41.615242
DKW46-15,Control,3,20.5,504,39.8,20.93,41.3335495
DKW46-15,Control,4,21.93,571,50.2,m,m
DKW46-15,HNT,1,13.7,443,29.4,7.96,38.11820221
DKW46-15,HNT,2,20.16,277,19.1,19.51,37.50299072
DKW46-15,HNT,3,14.23,247,18.6,16.6,38.60163116
DKW46-15,HNT,4,m,m,m,m,m
