geno,trt,rep,OC
Mercedes,Control,1,43.02
Mercedes,Control,2,47.19
Mercedes,Control,3,46.75
Mercedes,Control,4,45.89
Mercedes,HNT,1,44.18
Mercedes,HNT,2,46.79
Mercedes,HNT,3,42.83
Mercedes,HNT,4,43.72
Edimax CL,Control,1,42.78
Edimax CL,Control,2,44.73
Edimax CL,Control,3,39.93
Edimax CL,Control,4,43.85
Edimax CL,HNT,1,41.02
Edimax CL,HNT,2,44.6
Edimax CL,HNT,3,41.05
Edimax CL,HNT,4,40.85
Popular,Control,1,44.56
Popular,Control,2,44.13
Popular,Control,3,42.84
Popular,Control,4,
Popular,HNT,1,40.84
Popular,HNT,2,44.41
Popular,HNT,3,42.21
Popular,HNT,4,46.09
46W94,Control,1,44.51
46W94,Control,2,46.17
46W94,Control,3,45.05
46W94,Control,4,43.95
46W94,HNT,1,44.44
46W94,HNT,2,45.29
46W94,HNT,3,44.96
46W94,HNT,4,
DKW44-10,Control,1,32.79
DKW44-10,Control,2,33.23
DKW44-10,Control,3,34.57
DKW44-10,Control,4,
DKW44-10,HNT,1,29.44
DKW44-10,HNT,2,26.32
DKW44-10,HNT,3,27.96
DKW44-10,HNT,4,27.9
DKW46-15,Control,1,40.51
DKW46-15,Control,2,41.62
DKW46-15,Control,3,41.33
DKW46-15,Control,4,
DKW46-15,HNT,1,38.12
DKW46-15,HNT,2,37.5
DKW46-15,HNT,3,38.6
DKW46-15,HNT,4,
